SponsorID|SponsorTypes|SponsorName
GM0151|C|E C DRIVER & ASSOCIATES
GM01510|C|FL MANUFACTURED HOUSING ASSO
GM01511|C|AMER ASSO OF PHYSICISTS IN MED
GM01512|C|AMER EDUCATION RES ASSO
GM01513|C|AMER ELEC SURFACE FINISHER SOC
GM01514|C|AMER FARMLAND TRUST
GM01515|C|AMER HLTH FOU
GM01516|C|AMER HEARING RESEARCH FOU
GM01517|C|AMER SOC FOR NONDESTRUCTIVE TEST
GM01518|C|AMER SOC OF CIVIL ENGINEERS
GM01519|C|AMER SOC OF PARENTERAL & ENT NUT
GM0152|C|E-Z-EM INC ANGIODYNAMICS
GM01520|C|AMER SOCIOLOGICAL ASSOCIATION
GM01521|C|RUBIN FOU|C| SHELLEY AND DONALD
GM01522|C|ASSO OF TEACHERS OF PREV MED
GM01523|C|CTR TO PROTECT WORKERS RIGHTS
GM01524|C|FOU FOR ADV MESOAMERICAN STUDIES
GM01525|C|FL ASSO OF ORTHODONTISTS
GM01526|C|FL FRUIT AND VEGETABLE ASSO
GM01527|C|FL TRAIL ASSOCIATION
GM01528|C|FL TROPICAL FISH FARMS ASSO
GM01529|C|CORP FOR PUBLIC BROADCASTING
GM0153|C|EASTERN COOP ONCOLOGY GROUP
GM01530|C|CNCL FOR INTL EXCH SCHOLARS
GM01531|C|CNCL FOR TOBACCO RESEARCH
GM01532|C|CYSTIC FIBROSIS FOU
GM01533|C|CYSTIC FIBROSIS FOU SERVICES
GM01534|C|DEAFNESS RESEARCH FOU
GM01535|C|DEVELOPMENT ALTERNATIVES INC
GM01536|C|DIABETES ACTION RESEARCH AND EDU FOU
GM01537|C|DIABETES RESEARCH & EDU FOU
GM01538|C|DREYFUS FOU|C| CAMILLE & HENRY
GM01539|C|DUKE CHARITABLE FOU|C| DORIS
GM0154|C|EASTMAN KODAK COMPANY
GM01540|C|DUPONT FUND|C| JESSE BALL
GM01541|C|EMERGENCY MEDICINE FOU
GM01542|C|ENG FOU AM INST OF CIVIL ENGINEERS
GM01543|C|EPILEPSY FOU OF AMERICA
GM01544|C|EPPLEY FOU FOR RES
GM01545|C|FANNIE MAE
GM01546|C|FANNIE MAE OFFICE OF HOUSING RES
GM01547|C|FANNIE MAE FOU
GM01548|C|FATS AND PROTEINS RES FOU
GM01549|C|FOU FOR ANESTHESIA EDU AND RES
GM0155|C|ECKERD CORP FOU|C| JACK
GM01550|C|FOU FOR HUMAN SERVICE STUDIES
GM01551|C|FOU FOR PHYSICAL THERAPY RES
GM01552|C|FIGHT FOR SIGHT
GM01553|C|FL 4-H FOU
GM01554|C|FL ASSO HOUS AND REDEV OFFICIALS
GM01555|C|FL BEEF CNCL
GM01556|C|FL CONCRETE AND PRODUCTS ASSO
GM01557|C|FL CNCL ON ECONOMIC EDU
GM01558|C|FL DAIRY FARMERS ASSOCIATION
GM01559|C|FL EDUCATION RESEARCH CNCL
GM0156|C|ELAN PHARMACEUTICAL RES CORP
GM01560|C|FL FARM BUREAU FEDERATION
GM01561|C|FL FOU RESEARCH IN SPINAL DISORDER
GM01562|C|FL FORESTRY ASSOCIATION
GM01563|C|FL FORESTRY FOU
GM01564|C|FL FOU SEED PRODUCERS
GM01565|C|FL FRUIT AND VEGETABLE ASSO
GM01566|C|FL GOLF COURSE SUPT ASSO
GM01567|C|FL HUMANITIES CNCL
GM01568|C|FL LIME AND AVOCADO ADMN COM
GM01569|C|FL MOSQUITO CONTROL ASSO
GM0157|C|ELF ATOCHEM NORTH AMERICA INC
GM01570|C|FL NURSERYMEN AND GROWERS ASSO
GM01571|C|FL NURSES FOU
GM01572|C|FL SOC OF PROF LAND SURVEYORS
GM01573|C|FL STATE UNIV RESEARCH FOU
GM01574|C|FL STRAWBERRY GROWERS ASSO
GM01575|C|FL SUGAR CANE LEAGUE
GM01576|C|FL TOMATO COMMITTEE
GM01577|C|FL TOMATO EXCHANGE
GM01578|C|FL TURF GRASS ASSO
GM01579|C|FLASHA FOU
GM0158|C|ELI LILLY AND CO
GM01580|C|FL HEALTHY KIDS CORP
GM01581|C|AMER MASSAGE THERAPY FOU
GM01582|C|FLUID FERTILIZER FOU
GM01583|C|FORD FOU
GM01584|C|FRANCIS FAMILIES FOU
GM01585|C|HUTCHINSON FRED CANCER RES CTR
GM01586|C|FRIENDS OF THE MOUNTS
GM01587|C|EWING MARION KAUFFMAN FOU
GM01588|C|FUND FOR ASTROPHYSICAL RES
GM01589|C|GEORGIA PEANUT COM
GM0159|C|ELI LILLY AND CO RES LABORATORIES
GM01590|C|GAS RESEARCH INST
GM01591|C|GENERAL ELECTRIC FOU
GM01592|C|GERARD FOU|C| SUMNER
GM01593|C|GLOECKNER FOU|C| FRED C
GM01594|C|GOLF COURSE SUPERS ASSO
GM01595|C|GRACE FOU
GM01596|C|GRASS FOU
GM01597|C|GRAYSON JOCKEY CLUB RES FOU
GM01598|C|GROWER-SHIPPER VEGETABLE ASSOCIATION
GM01599|C|GULF AND S ATLANTIC FISH DEV FOU
GM016|C|ALCOA FOU
GM0160|C|EMISPHERE TECHNOLOGIES
GM01600|C|HARBOR BRANCH OCEAN INST
GM01601|C|HARTFORD FOU
GM01602|C|HAVERMEYER FOU|C| DOROTHY R
GM01603|C|HAYWARD FOU|C| JOHN & WINIFRED
GM01604|C|HEMOPHILIA OF GEORGIA
GM01605|C|HITACHI FOU
GM01606|C|HOFFMANN LA ROCHE FOU
GM01607|C|HORTICULTURAL RES INST
GM01608|C|HOWARD FOU
GM01609|C|HUGHES MEDICAL INST|C| HOWARD
GM0161|C|EMMES CORP
GM01610|C|INST ELECTRIC & ELECTRONIC ENG
GM01611|C|INST FOR BIOLOGICAL RES & DEV
GM01612|C|INST OF CHARTERED FIN ANALYSISTS
GM01613|C|INST OF INTL EDU
GM01614|C|INST OF INTL EDU FULBRIGHT PRO
GM01615|C|INTL ANESTHESIA RES SOCIETY
GM01616|C|INTL ASSO OF FIRE FIGHTERS
GM01617|C|INTL LIFE SCIENCES INST
GM01618|C|INTL RES AND EXCHANGES BOARD
GM01619|C|IRVINGTON INST FOR MEDICAL RES
GM0162|C|ENGELHARD CORP
GM01620|C|IUCN SPECIES SURVIVAL COM
GM01621|C|JACKSON MEMORIAL HOSPITAL
GM01622|C|JAQUA FOU
GM01623|C|JOHNSON|C| ROBERT WOOD FOU
GM01624|C|JOINT OCEANOGRAPHIC INST
GM01625|C|JUNIOR LEAGUE OF GAINESVILLE
GM01626|C|JUVENILE DIABETES FOU
GM01627|C|KADE FOU|C| MAX
GM01628|C|KELLOGG FOU|C| W K
GM01629|C|KNIGHT FOU|C| JOHN S AND JAMES L
GM0163|C|ENVIRONMENTAL CONSULT AND TECH
GM01630|C|LADIES AUXILIARY TO THE VFW
GM01631|C|LEAKEY FOU|C| L S B
GM01632|C|LEUKEMIA RES FOU
GM01633|C|LEUKEMIA SOCIETY OF AMERICA
GM01634|C|LINDBERGH FOU|C| CHAS. & ANNE
GM01635|C|LITTAUER FOU|C| LUCIUS N
GM01636|C|LUBEE FOU
GM01637|C|LUPUS FOU OF AMERICA
GM01638|C|MACARTHUR FOU|C| JOHN D & CATH
GM01639|C|MACY FOU|C| JOSIAH JR
GM0164|C|ENZON INC
GM01640|C|MARCH OF DIMES
GM01641|C|MARCH OF DIMES NE FL CHAPTER
GM01642|C|MATHYS RESEARCH FOU|C| H C R
GM01643|C|MAYO CLINIC
GM01644|C|MCKNIGHT FOU
GM01645|C|MELLON FOU|C| ANDREW W
GM01646|C|MIDWEST RESEARCH INST
GM01647|C|MIDWEST RES INST RENEW ENERGY LAB
GM01648|C|MILHEIM FOU FOR CANCER RES
GM01649|C|MORRIS ANIMAL FOU
GM0165|C|ESMOR MANAGEMENT
GM01650|C|MOUNT SINAI MEDICAL CTR
GM01651|C|NATL MULTIPLE SCLEROSIS SOC
GM01652|C|MUSCULAR DYSTROPHY ASSO
GM01653|C|NE FL AREA HLTH EDU CTR
GM01654|C|NA SOC OF PACING AND ELECTROPHY
GM01655|C|NATL ACAD FOR NUCLEAR TRAINING
GM01656|C|NATL ALLIANCE FOR RES ON SCHIZ
GM01657|C|NATL ASSO BOARDS OF PHARMACY
GM01658|C|NATL ASSO FOR CLINICAL RESRCH
GM01659|C|NATL ASSO FOREIGN STUDENT AFF
GM0166|C|ETHICON
GM01660|C|NATL ASSO OF ANIMAL BREEDERS
GM01661|C|NATL ASSO OF CHAIN DRUG STORES
GM01662|C|NATL ASSO ST UNIV & LAND-GRANT
GM01663|C|NATL COASTAL RESOURCE R&D INST
GM01664|C|NATL CNCL AIR AND STREAM IMPROVE
GM01665|C|NATL CNCL TEACHERS OF ENGLISH RES FOU
GM01666|C|NATL FOU FOR IMPROVE OF EDU
GM01667|C|NATL FISH AND WILDLIFE FOU
GM01668|C|NATL FISHERIES INST
GM01669|C|NATL FOLIAGE FOU
GM0167|C|EXACTECH INC
GM01670|C|NATL FUND FOR MEDICAL EDU
GM01671|C|NATL GEOGRAPHIC SOCIETY
GM01672|C|NATL INST FOR FAMILY PLANNING
GM01673|C|NATL INST GLOBAL ENV CHANGE
GM01674|C|NATL KIDNEY FOU
GM01675|C|NATL ORG FOR HEARING RESEARCH
GM01676|C|NATL OSTEOPOROSIS FOU
GM01677|C|NATL PAPER IND AIR & STREAM
GM01678|C|NATL PARKINSON FOU
GM01679|C|NATL PEANUT FOU
GM0168|C|EXXON CORP
GM01680|C|NATL PHARMACEUTICAL CNCL
GM01681|C|NATL RESEARCH CNCL
GM01682|C|NATL RES CNCL TRANS RES BOARD
GM01683|C|NATL RETINITIS PIGMENTOSA FOU
GM01684|C|NATL SURG ADJUV BREAST & BOWEL
GM01685|C|NATL TURFGRASS FEDERATION
GM01686|C|NATL WILD TURKEY FEDERATION
GM01687|C|NATURE CONSERVANCY
GM01688|C|NEMOURS CHILDRENS CLINIC
GM01689|C|NEW RIVER SOLID WASTE ASSOCIATION
GM0169|C|EXXON EDUCATION FOU
GM01690|C|NOER RESEARCH FOU
GM01691|C|NA STRAWBERRY GROWERS ASSO
GM01692|C|OAK RIDGE ASSO UNIVERSITIES
GM01693|C|OAK RIDGE ASSO UNIV INST FOR SCI AND EDU
GM01694|C|ASSO FOR ACADEMIC SURGERY
GM01695|C|OHIO FLORICULTURE FOU
GM01696|C|OHIO STATE UNIV RESEARCH FOU
GM01697|C|ORTHOPAEDIC RES AND EDU FOU
GM01698|C|OUNCE OF PREVENTION FUND OF FL
GM01699|C|PACKARD FOU
GM017|C|ALCOA TECHNICAL CTR
GM0170|C|FERMILAB
GM01700|C|PADI FOU
GM01701|C|PARALYZED VETERANS OF AMERICA
GM01702|C|PARALYZED VETS OF AMER SPINAL CORD FOU
GM01703|C|PARDEE FOU|C| ELSA U
GM01704|C|PDA FOU FOR PHARM SCIENCES
GM01705|C|PEDIATRIC AIDS FOU
GM01706|C|PERENNIAL PLANT ASSOCIATION
GM01707|C|PEW CHARITABLE TRUSTS
GM01708|C|PEW CHARITABLE TRUSTS SCHO PRG
GM01709|C|PHARM RES AND MFRS OF AMER FOU
GM0171|C|FL CITRUS MUTUAL
GM01710|C|PLASTIC SURGERY EDUCATION FOU
GM01711|C|RADIOLOGICAL SOCIETY OF N A
GM01712|C|RESEARCH CORP
GM01713|C|RESEARCH TO PREVENT BLINDNESS
GM01714|C|RETIREMENT RESEARCH FOU
GM01715|C|RGK FOU
GM01716|C|ROCKEFELLER FOU
GM01717|C|RONALD MCDONALD CHILD CHARIT
GM01718|C|SE CTR FOR ELECTRICAL ENG EDU
GM01719|C|SE UNIV RESEARCH ASSO
GM0172|C|FL FOOD PRODUCTS
GM01720|C|SAN DIEGO STATE UNIV FOU
GM01721|C|SAVE-A-TURTLE
GM01722|C|SEARLE SCHOLARS PROGRAM
GM01723|C|SENDZIMIR FOU
GM01724|C|SHANDS TEACHING HOSPITAL
GM01725|C|SHANDS TEACHING HOSP SHANDS CHILDRENS MN
GM01726|C|SHANDS JACKSONVILLE MED CTR
GM01727|C|SHANDS TEACHING HOSPITAL HEALTHCARE
GM01728|C|SIGMA KAPPA SORORITY FOU
GM01729|C|SIGMA THETA TAU INTL
GM0173|C|FL POWER AND LIGHT CO
GM01730|C|SIGMA XI
GM01731|C|SJOGREN'S SYNDROME FOU
GM01732|C|SLOAN FOU|C| ALFRED P
GM01733|C|SLOAN-KETTERING CANCER CTR
GM01734|C|SNACK FOOD ASSO
GM01735|C|SO FL ACAD OF ORTHODONTISTS
GM01736|C|SOC FOR CONSERVATION BIOLOGY
GM01737|C|SOC OF MANUFACTURING ENGINEERS
GM01738|C|SOUTHERN ARTS FEDERATION
GM01739|C|SOUTHERN MEDICAL ASSOCIATION
GM0174|C|FL POWER CORP
GM01740|C|FL SPACE RESEARCH INST
GM01741|C|SPENCER FOU
GM01742|C|ST LOUIS ZOOLOGICAL PARK
GM01743|C|STANLEY FOU|C| THEODORE & VADA
GM01744|C|STATE LEGISLATIVE LEADERS FND
GM01745|C|STATE UNIV OF NEW YORK RES FOU
GM01746|C|STEINBACH FOU
GM01747|C|STOP! CHILDRENS CANCER INC
GM01748|C|SUGAR CANE GROWERS COOP OF FL
GM01749|C|SUWANNEE RIVER AREA HLTH EDU CTR
GM0175|C|FL SOLAR ENERGY CTR
GM01750|C|SUWANNEE RVR ECONOMIC CNCL
GM01751|C|TEXAS A&M RES FOU
GM01752|C|TEXAS A&M RES FOU US SCI PROG
GM01753|C|TINKER FOU
GM01754|C|TOURETTE SYNDROME ASSO
GM01755|C|UF RESEARCH FOU MISC
GM01756|C|UF RESEARCH FOU MISC UNRES DONATION
GM01757|C|UF RESEARCH FOU RESIDUAL FUNDS
GM01758|C|TROPICAL FRUIT GROWERS OF S FL
GM01759|C|UF ATHLETIC ASSO
GM0176|C|FLUME ELBAUM & COLLINS
GM01760|C|UF FOU
GM01761|C|UF FOU UNRESTRICTED DONATION
GM01762|C|UF FOU SHARE
GM01763|C|UF MEDICAL GUILD
GM01764|C|UF RESEARCH FOU
GM01765|C|UF RESEARCH FOU RESEARCH PROFESSORSHIPS
GM01766|C|US GOLF ASSOCIATION
GM01767|C|US TENNIS ASSOCIATION
GM01768|C|UNIV OF GEORGIA RESEARCH FOU
GM01769|C|UNIV OF KENTUCKY RESEARCH FOU
GM0177|C|FMC PROFESSIONAL SOLUTIONS
GM01770|C|UNIV MEDICAL CTR
GM01771|C|VETERINARY ORTHOPAEDIC SOC
GM01772|C|WATER ENVIRONMENT RES FOU
GM01773|C|WEST FL AREA HLTH EDUC CTR
GM01774|C|WHITAKER FOU
GM01775|C|WHITEHALL FOU
GM01776|C|WILDLIFE CONSERVATION SOCIETY
GM01777|C|WINN FOU|C| ROBERT H
GM01778|C|WINTHROP INST
GM01779|C|WENNER-GREN FOU ANTHRO RES
GM0178|C|FORD MOTOR CO
GM01780|C|NATL ACAD OF SCIENCES
GM01781|C|NATL ACAD SCIENCES NATL RES CNCL
GM01782|C|LAWSON WILKINS PED ENDOCR SOC
GM01783|C|AMER FOU FOR UROLOGIC DISEASE
GM01784|C|BIG BEND AREA HLTH EDU CTR
GM01785|C|DANA FOU|C| CHARLES A
GM01786|C|CHILDRENS  HOSP  BOSTON
GM01787|C|CALIFORNIA AVOCADO COM
GM01788|C|MCDONNELL FOU|C| JAMES S
GM01789|C|MISSISSIPPI ENTERPRISE FOR TEC
GM0179|C|FORD MOTOR CO VISTEON
GM01790|C|SO CAROLINA RESEARCH AUTHORITY
GM01791|C|NATL ASSO OF RECORDING MERCH
GM01792|C|NATL ASSO OF SCHL PSYCHOLOGIST
GM01793|C|NATL ATHLETIC TRAINERS ASSO
GM01794|C|NATL WATERMELON PROMOTION BRD
GM01795|C|NATL STARCH AND CHEMICAL FOU
GM01796|C|NATL VITILIGO FOU
GM01797|C|NOR CENTRAL FL HLTH PLAN CNCL
GM01798|C|OPEN SOCIETY INST
GM01799|C|NEIGHBORHOOD REINVESTMENT CORP
GM018|C|ALCON LABORATORIES INC
GM0180|C|FOREST LABORATORIES INC
GM01800|C|SAGE FOU|C| RUSSELL
GM01801|C|NEIGHBORHOOD HOUSING & DEV COR
GM01802|C|SPACE TELESCOPE SCIENCE INST
GM01803|C|AIR-COND & REFRIG TECH INST
GM01804|C|EDUCATIONAL TESTING SERVICE
GM01805|C|AMER WATER WORKS ASSO
GM01806|C|ORGANIC FARMING RESEARCH FOU
GM01807|C|WOOD FUND|C| FRANK B & ELIZ P
GM01808|C|TURNER FOU INC
GM01809|C|PRIMATE CONSERVATION INC
GM0181|C|FORT DODGE LABORATORIES
GM01810|C|AMER ACAD OF OTOLARYNGOLOGY
GM01811|C|AMER ACAD OF OTOLARYNGOLOGY HEAD NECK
GM01812|C|PLANETARY CORAL REEF FOU
GM01813|C|SOU FLORIDA BAPTIST HOSPITAL
GM01814|C|SW PED NEPHROLOGY STUDY GROUP
GM01815|C|US CIVILIAN RES AND DEV FOU
GM01816|C|FL POULTRY FEDERATION
GM01817|C|OBSESSIVE COMPULSIVE FOU
GM01818|C|SW FL RESEARCH AND EDU FOU INC
GM01819|C|UNITED SOYBEAN BOARD
GM0182|C|FOUNTAIN OF YOUTH PROPERTIES
GM01820|C|AMER ASSO OF PHARM SCIENTISTS
GM01821|C|FRONTIER SCI AND TECH RESEARCH FOU
GM01822|C|DANA FARBER CANCER INST
GM01823|C|FL CLINICAL PRACTICE ASSO
GM01824|C|SCHULTE RESEARCH INST
GM01825|C|FL LEADERSHIP & EDUCATION FOU
GM01826|C|SAPIENT'S INST
GM01827|C|ENDOCRINE FELLOWS FOU
GM01828|C|GENESIS REHAB HOSPITAL
GM01829|C|INTL SOC OF ARBORICULTURE
GM0183|C|FRANKLIN ENTERPRISES
GM01830|C|AMER DIGESTIVE HLTH FOU
GM01831|C|JACKSONVILLE CHILDREN'S COM
GM01832|C|SAVE THE MANATEE CLUB
GM01833|C|FETZER INST
GM01834|C|AMER LYME DISEASE FOU
GM01835|C|FL ENDOW FOU FOR VOC REHAB ABLE TRUST
GM01836|C|VERY SPECIAL ARTS
GM01837|C|NATL BOARD OF MED EXAMINERS
GM01838|C|FAMILY VISITATION CTR
GM01839|C|AMER FOU FOR AGING RES
GM0184|C|G H BESSELAAR ASSOCIATES
GM01840|C|INTERSTATE SHELLFISH SANI CONF
GM01841|C|WINN FELINE FOU
GM01842|C|US POULTRY AND EGG ASSO
GM01843|C|ASSO OF RESEARCH LIBRARIES
GM01844|C|NATL STRENGTH AND CONDITION FOU
GM01845|C|GULF COAST N AREA HLTH EDU
GM01846|C|GULF COAST S AREA HLTH EDU
GM01847|C|PARTNER FOR ENV TECH AND EDU
GM01848|C|SOUTHERN RURAL SOCIOLOGIC ASSO
GM01849|C|HEERMANN ANESTHESIA FOU|C| I
GM0185|C|GALEN DRUGS OF FLORIDA
GM01850|C|AMER SOC OF ECHOCARDIOGRAPHY
GM01851|C|HAZARDOUS MATERIALS TECH & RES
GM01852|C|NATL CTR FOR CONSTRUCTION EDU
GM01853|C|BLOWITZ-RIDGEWAY FOU
GM01854|C|AMER ASSO OF LAW LIBRARIES
GM01855|C|WOODS HOLE OCEANOGRAPHIC INST
GM01856|C|KOMEN BREAST CANCER FOU
GM01857|C|SOUTHERN ECONOMIC ASSOCIATION
GM01858|C|OAK HALL SCHOOL
GM01859|C|NATL KIDNEY FOU OF FL
GM0186|C|GEN-PROBE
GM01860|C|ARCHBOLD BIOLOGICAL STATION
GM01861|C|ENV INTERCONTINENTAL
GM01862|C|SO ASSO OF AGRIC EXP STA DIR
GM01863|C|ASSO OF UNIV FOR RES IN ASTRONOMY
GM01864|C|COLUMBUS ZOO
GM01865|C|MIAMI JEWISH HOME & HOSPITAL
GM01866|C|NORTH FL FOU FOR RES AND EDU
GM01867|C|LOUISIANA UNIV MARINE CONSORT
GM01868|C|AMER SOC OF LAW|C| MED AND ETHICS
GM01869|C|FLAG IN THE CLASSROOM INC
GM0187|C|GENENTECH FOU FOR GROWTH DEV
GM01870|C|COMMON PURPOSE INST
GM01871|C|MOFFITT CANCER CTR|C| H LEE
GM01872|C|ORLANDO HEALTH FOU
GM01873|C|FL DENTAL ASSO
GM01874|C|ENTERPRISE FL
GM01875|C|ENTERPRISE FL INNOVATION PARTNERSHIP
GM01876|C|ENTERPRISE FL MANUFACTURING PARTNERSHIP
GM01877|C|ENTERPRISE FL SW FL WORKFORCE DEV
GM01878|C|ENTERPRISE FL ALACHUA/BRADFORD JEP
GM01879|C|ENTERPRISE FL NORTH FL WORFORCE DEV
GM0188|C|GENENTECH INC
GM01880|C|AMER DENTAL ASSO  FOU
GM01881|C|NATL NTWK CHILD ADVOCACY CTRS
GM01882|C|MANUFACTURED HOUSING INST
GM01883|C|WORLD VISION
GM01884|C|PHRMA FOU
GM01885|C|AMER COL OF GASTROENTEROLOGY
GM01886|C|HEINZ FAMILY FOU
GM01887|C|HEINZ FAMILY FOU JOHN HEINZ ENDOWMENT
GM01888|C|HISPANIC DENTAL ASSOCIATION
GM01889|C|AMER SHOW HORSE ASSOCIATION
GM0189|C|GENERAL DYNAMICS CORP
GM01890|C|GRAHAM FOU
GM01891|C|UF ALUMNI ASSOCIATION
GM01892|C|DYSTONIA MEDICAL RES FOU
GM01893|C|JOHNS HOPKINS BAYVIEW MED CTR
GM01894|C|NORTH FL NSSA
GM01895|C|CHILDRENS HOSP NEW ORLEANS
GM01896|C|CHILDRENS HOSP NEW ORLEANS RES FOR CHILD
GM01897|C|AMER SOC OF NEPHROLOGY
GM01898|C|FARM WORKERS ASSO OF FL
GM01899|C|SCHOLL FOU
GM019|C|ALLIEDSIGNAL INC
GM0190|C|GENERAL DYNAMICS CORP INFO SYS
GM01900|C|LIFELINE FOU
GM01901|C|AMER VINEYARD FOU
GM01902|C|NATL CATTLEMENS BEEF ASSO
GM01903|C|NATL EPIFELLOWS FOU
GM01904|C|AMER ALLIANCE FOR HLTH
GM01905|C|SOUTHWEST RESEARCH INST
GM01906|C|FL CHAMBER OF COMMERCE FOU
GM01907|C|AMER FIBROMYALGIA SYNDROM ASSO
GM01908|C|MARY KAY ASH CHARITABLE FOU
GM01909|C|HAUCK FOU|C| JOHN
GM0191|C|GENERAL ELECTRIC CO
GM01910|C|WORKFORCE CNCL OF SW FL
GM01911|C|AM PARAPLEGIA SOCIETY
GM01912|C|ASSOCIATION LIAISON OFFICE-ALO
GM01913|C|AMER FORESTS
GM01914|C|WAYNE HUGHES INST
GM01915|C|WAYNE HUGHES INST DRUG DISCOVERY ENT
GM01916|C|TALL TIMBERS RESEARCH INC
GM01917|C|SUSTAINABLE COMMUNITIES NET
GM01918|C|AMER SOLAR ENERGY SOC
GM01919|C|NATL TUBEROUS SCLEROSIS FOUND
GM0192|C|GENERAL ELECTRIC CO MED SYS
GM01920|C|BEINECKE MEMORIAL SCHOLARSHIP
GM01921|C|FOOD RESEARCH INST FOU
GM01922|C|ST PETE NEIGHBORHOOD HOUSING
GM01923|C|JACKSONVILLE HOUSING PARTNERSH
GM01924|C|MIAMI-DADE NEIGHBORHD HOUSING
GM01925|C|EAA LEAFY VEGETABLE GROWERS
GM01926|C|WEST PALM BEACH HOUSING PARTNR
GM01927|C|TEMPLE OF THE UNIVERSE
GM01928|C|WHITE CNTY INDIANA
GM01929|C|FT PIERCE NEIGHBORHOOD HOUSING
GM0193|C|GENERAL IMAGING CORP
GM01930|C|NORTH AMER SPINE SOCIETY
GM01931|C|ENGINEERING INFORMATION FOU
GM01932|C|PBS VIDEO
GM01933|C|EVERGLADES NATL PARK
GM01934|C|AMER ASSO OF HLTH PLANS FOU
GM01935|C|ADEC DISTANCE EDU CONSORTIUM
GM01936|C|AG INST OF FLORIDA
GM01937|C|OXALOSIS AND HYPEROXALURIA FOU
GM01938|C|GENESIS HLTH FOU
GM01939|C|OKEEFENOKEE WILDLIFE LEAGUE
GM0194|C|GENERAL MOTORS CORP
GM01940|C|MEDICAL CITY DALLAS HOSPITAL
GM01941|C|SCHOMBURG CTR FOR RESEARCH
GM01942|C|NATURAL RESOURCE DEFNSE CNCL
GM01943|C|PUBLIC RELATIONS SOCIETY OF AMERICA
GM01944|C|FOU FOR FIGHTING BLINDNESS
GM01945|C|MACULAR VISION RESEARCH FOU
GM01946|C|ALBERTA HERITAGE FOU MED RESR
GM01947|C|NATL MILK PRODUCERS FEDERATION
GM01948|C|SOYBEAN RESEARCH AND DEV CNCL
GM01949|C|NATL RIGHT TO WORK LEGAL DEFEN
GM0195|C|GENERAL MOTORS CORP RESEARCH LAB
GM01950|C|CNCL FOR AG SCI & TECHNOL
GM01951|C|HOROWITZ MEMORIAL FUND
GM01952|C|PARKINSON'S DISEASE FOU
GM01953|C|COOPER HOSPITAL UNIV MED CTR
GM01954|C|CHILDRENS HOSP CINCINNATI
GM01955|C|AMER ACAD OF PERIODONTOLOGY FOU
GM01956|C|SOC OF GERIATRIC CARDIOLOGY
GM01957|C|UNITED NATIONS ASSO OF USA
GM01958|C|NATL PRESSURE ULCER ADVS PANEL
GM01959|C|BERNICE BARBOUR FOU
GM0196|C|GENERAL MOTORS CORP NAO TECH CTR
GM01960|C|MAZDA FOU
GM01961|C|TSAO-JING MEMORIAL FOU
GM01962|C|NATL OPTICAL ASTRONOMY OBSERVA
GM01963|C|NATL HEMOPHILIA FOU
GM01964|C|US PHARMACOPEIA
GM01965|C|RURAL SOCIOLOGY SOCIETY
GM01966|C|WAYNE|C| JOHN CANCER INST
GM01967|C|WELDER|C| ROB & BESS WILDLF FNDT
GM01968|C|NATL HONEY BOARD
GM01969|C|AMER ASSO ENDODONTISTS FOU
GM0197|C|GENZYME CORP
GM01970|C|MACULA FOU
GM01971|C|NATL BRAIN TUMOR FOU
GM01972|C|PEANUT FOU
GM01973|C|GADSEN CNTY TOMATO GROWRS ASSO
GM01974|C|FL NORTH SHORE TECH CNTR
GM01975|C|AMER ASSO OF PUB HLTH DENTISTRY
GM01976|C|AMER HEAD AND NECK SOC
GM01977|C|NATL HISPANIC HOUSING CNCL
GM01978|C|MUSCULOSKELETAL TRANSPLNT FOU
GM01979|C|FL FEDERATION OF FAIRS
GM0198|C|GEO-CENTERS
GM01980|C|THELMA HANSEN TRUST|C| U OF CA
GM01981|C|AMER ACAD OF OROFACIAL PAIN
GM01982|C|PUBLIC HLTH INST
GM01983|C|WEYHRICH LEADERSHIP FUND|C| R J
GM01984|C|AQUATIC ECOSYS & RESTORN FOU
GM01985|C|UNIV HLTH SYSTEM CONSORTIUM
GM01986|C|REEVE FOU|C| CHRISTOPHER & DANA
GM01987|C|CEDARS SINAI MEDICAL CTR
GM01988|C|NATL CNCL ON STUDENT DEVELPMNT
GM01989|C|ALLIANCE TO SAVE ENERGY
GM0199|C|GEOFOCUS INC
GM01990|C|FL HOUSING FINANCE CORP
GM01991|C|FL ASSO OF REALTORS
GM01992|C|NATL BLACK NURSES ASSOCIATION
GM01993|C|PSI CHI FACULT ADVSR RES GRANT
GM01994|C|AG AND LABOR PROGRAM INC
GM01995|C|NATL RETAIL INST
GM01996|C|ALPHA ONE FOU
GM01997|C|STRUCTURAL STABILITY RES CNCL
GM01998|C|HILLMAN FOU|C| WILLIAM TALBOTT
GM01999|C|SMITH RICHARDSON FOU
GM02|C|3M COMPANY
GM020|C|ALLTECH BIOTECHNOLOGY CTR
GM0200|C|GEORGIA-PACIFIC CORP
GM02000|C|E. GLASER PEDIATRIC AIDS FOU
GM02001|C|ALTMAN FOU|C| JENIFER
GM02002|C|FIDELITY INVST CHARITABLE GIFT
GM02003|C|PROPANE EDU & RES CNCL
GM02004|C|BETH ISRAEL DEACONESS MED CTR
GM02005|C|ASHRAE
GM02006|C|NATL PATIENT SAFETY FOU
GM02007|C|INST FOR STUDY OF WORLD POLITI
GM02008|C|AMER ACAD OF FIXED PROSTHODONTIC
